지점,일시,최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균이슬점온도(°C),평균상대습도(%)
182,2014-01-01,133,125,12.3,7.9,1532,2254,1018,1019.6,1016.1,,,,,,,,-3.7,38
182,2014-01-02,1313,1307,12.2,4.9,1204,2304,1020.8,1023,1019.3,,,,,,,,-3.1,43
182,2014-01-03,2322,2339,14.4,5.3,1401,148,1017,1020.1,1014.4,,,,,,,,.2,51
182,2014-01-04,648,1431,10.8,3.1,1,2359,1019.3,1020.7,1017.2,,,,,,,,-1.8,53
182,2014-01-05,2120,1855,8.6,1.6,1435,624,1023.3,1025.8,1020.5,,,,,,,,-5.9,45
182,2014-01-06,2216,2105,9.5,1.7,1327,505,1027.1,1029,1025.5,,,,,,,,-5.7,43
182,2014-01-07,1508,1841,12.1,2.6,1144,114,1023.6,1026.5,1020.6,0,,,,,,,-.7,54
182,2014-01-08,414,2052,10.4,3.8,24,2344,1019.6,1024.5,1016.9,34.5,,,,,,,1.8,70
182,2014-01-09,746,737,3.9,0,2,2236,1028.5,1032.2,1024.1,0,,,,,,,-7,53
182,2014-01-10,112,17,6.1,.1,2135,47,1032.4,1034.3,1030.9,0,,,,,,,-4.2,59
182,2014-01-11,248,152,6.2,2.5,151,2347,1032.1,1034.7,1030,,,,,,,,-5.2,48
182,2014-01-12,1823,1859,8.5,1.4,1222,210,1029.4,1031.7,1027.8,,,,,,,,-4.2,50
182,2014-01-13,129,118,3.7,1.7,1,1214,1031.2,1032.7,1029.9,,,,,,,,-7.5,48
182,2014-01-14,2305,2257,4.9,-.8,1417,656,1031.5,1032.8,1030,,,,,,,,-9.4,41
182,2014-01-15,2,151,5.3,2.9,1447,350,1032.6,1034.5,1031.3,,,,,,,,-6.7,46
182,2014-01-16,811,742,6.1,1.6,1534,325,1029.7,1031.7,1027.9,,,,,,,,-5.3,49
182,2014-01-17,2350,2354,7.8,2.2,1417,730,1027,1028.8,1025.7,,,,,,,,-5.2,44
182,2014-01-18,921,915,7.5,4.1,10,2345,1028.9,1032.1,1025.8,0,,,,,,,-3.8,50
182,2014-01-19,1233,36,6.5,1.3,2356,751,1029.5,1033.2,1024.7,,,,,,,,-3.9,56
182,2014-01-20,2319,1837,10.4,3.8,1018,2318,1022.3,1024.9,1020.6,0,,,,,,,-1.5,52
182,2014-01-21,119,102,4.4,.4,1,1135,1026.4,1029.3,1024.3,0,,,,,,,-5.1,59
182,2014-01-22,539,537,5.3,2.2,1501,11,1029,1030.3,1028.1,0,,,,,,,-6,49
182,2014-01-23,2240,717,7.4,-.1,1457,641,1027.1,1029.6,1024.5,,,,,,,,-2.8,62
182,2014-01-24,2136,2206,15,3.1,2207,552,1021.8,1024.5,1018.9,,,,,,,,1.1,57
182,2014-01-25,1112,1109,17.3,7.5,1038,2331,1017.3,1022.9,1013.2,,,,,,,,5.4,59
182,2014-01-26,358,630,7.6,2,1,2322,1027.2,1029,1022.8,,,,,,,,-5,47
182,2014-01-27,1701,1621,12,-.3,1628,521,1025.3,1028.1,1023,,,,,,,,-4.2,48
182,2014-01-28,1552,1549,11.8,3.2,1115,2356,1024.3,1027,1022,0,,,,,,,.5,58
182,2014-01-29,1106,755,13,1.8,1522,630,1022.1,1026.4,1016.3,6.5,,,,,,,-.4,56
182,2014-01-30,252,1132,12.4,8.8,614,2329,1017.5,1022.4,1014.7,2.5,,,,,,,6.5,74
182,2014-01-31,1312,1311,15.4,4.3,1534,628,1022.6,1025,1020.7,,,,,,,,1,57
182,2014-02-01,1035,1356,21.9,7.7,1255,645,1015.5,1020.7,1010.7,3.5,,,,,,,8.4,68
182,2014-02-02,627,557,14.8,8.8,558,2310,1011.1,1013.4,1008.9,0,,,,,,,9.2,86
182,2014-02-03,1956,2030,9.3,1.6,33,2332,1015.5,1022,1011.1,0,,,,,,,-1.8,57
182,2014-02-04,814,442,1.7,-.5,3,2335,1024.9,1027.7,1021.8,0,,,,,,,-8.7,51
182,2014-02-05,1632,1717,5,-.4,1718,2,1026.4,1028.5,1023.8,,,,,,,,-6.1,52
182,2014-02-06,728,724,8.5,3,2353,1017,1022,1024.5,1019.6,15,,,,,,,1.5,76
182,2014-02-07,2038,2034,9.9,7.2,1343,150,1016.2,1019.8,1013.4,9,,,,,,,3.9,74
182,2014-02-08,23,48,8.5,4.9,10,2025,1016.5,1019.3,1013.6,7.5,,,,,,,1.9,73
182,2014-02-09,549,809,5.3,2.2,1,2129,1020.8,1022.4,1017.9,0,,,,,,,-4.2,57
182,2014-02-10,2359,2341,6.3,2.3,2357,56,1022.5,1023.8,1021.3,3.5,,,,,,,-1.7,68
182,2014-02-11,244,352,8.4,5.2,1246,747,1023.1,1024.7,1022,0,,,,,,,-2.1,56
182,2014-02-12,135,1641,7.4,3.4,1219,2321,1026.1,1027.5,1024.5,0,,,,,,,-2.7,55
