지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
182,2017-01-01,4.8,9,12,1615,1613,60,70,11.8,5,1356,2,1028.5,1031.2,1025,,,,,,,,3.5,3000,2.1,61
182,2017-01-02,4,9,14,1215,1209,160,180,13.3,9.3,1438,249,1023.6,1025.1,1022,.5,,,,,,,6.4,2500,6.3,73
182,2017-01-03,4.8,8,14,157,200,300,310,10.9,5,155,710,1025.1,1026.9,1024.1,,,,,,,,1.3,,1.3,63
182,2017-01-04,,7,10,401,1225,190,50,11.2,4.1,1442,639,,1025.9,1022.8,,,,,,,,,20000,,
182,2017-01-05,10.1,20,26,1430,1428,80,80,13.4,7.8,1401,158,1023.5,1024.7,1022.4,5,,,,,,,7,3000,5.7,71
182,2017-01-06,,23,28,1330,1308,80,90,13.4,9.7,1250,2354,,1026.4,1022.8,,,,,,,,,3000,,
182,2017-01-07,12.1,18,22,1237,1211,80,90,12.6,9,1208,314,1018.6,1023.4,1013.9,9.5,,,,,,,7.1,2500,7.1,77
182,2017-01-08,9.8,19,26,229,233,60,70,12.1,9.6,58,2328,1013.9,1015.6,1012.5,12,,,,,,,7,2000,6.2,75
182,2017-01-09,12.4,21,34,448,458,320,330,9.8,6.2,256,2356,1019.4,1022.1,1015.5,0,,,,,,,6.9,2500,.3,59
182,2017-01-10,,14,23,751,801,320,340,6.9,5.2,2046,2357,,1026.9,1021.9,,,,,,,,,3000,,
182,2017-01-11,8.1,14,21,225,234,320,340,5.2,3.2,1,1232,1026.8,1028.7,1024.5,,,,,,,,7,3000,-4.8,53
182,2017-01-12,,17,26,1743,1533,320,310,9.4,3.7,1310,752,,1024.9,1017.5,,,,,,,,,2500,,
182,2017-01-13,12.5,24,35,1828,1823,330,340,9.2,2.8,1340,2332,1018.7,1022.5,1016.4,,,,,,,,5.8,2500,-3.6,49
182,2017-01-14,12.8,17,29,419,640,330,330,4.3,1,400,1940,1025.2,1028.1,1022,0,,,,,,,6.8,3000,-5.7,53
182,2017-01-15,8.7,15,26,28,56,330,340,4.3,.4,1559,458,1028.5,1029.9,1026.8,,,,,,,,3.7,2500,-6.6,52
182,2017-01-16,6.4,11,19,459,455,340,340,5.5,1.2,1458,2359,1028.7,1030.6,1027.1,,,,,,,,4.8,3000,-5.5,50
182,2017-01-17,4.8,7,11,254,1139,170,310,7.3,.5,1056,128,1030.6,1032.1,1028.8,,,,,,,,4.7,3000,-2.9,58
182,2017-01-18,5.9,10,18,828,804,10,20,7.4,3.8,1906,1,1029.5,1031.6,1027,,,,,,,,6.8,2500,-1.9,57
182,2017-01-19,5.3,9,15,1329,1930,330,320,7.4,3.3,1213,2156,1024.2,1027.2,1021,,,,,,,,6.3,2500,-2,58
182,2017-01-20,19.3,28,46,527,523,310,310,7.5,.7,146,1500,1025.4,1030.8,1019.8,0,,,,,,,6.8,3000,-4.4,56
182,2017-01-21,,16,28,2307,2304,280,280,6.9,2.1,2126,240,,1031.1,1026,,,,,,,,,3000,,
182,2017-01-22,15.9,21,36,1351,1430,330,330,6.6,.9,6,1323,1028.5,1030.6,1026.3,1,,,,,,,7,3000,-4.7,55
182,2017-01-23,12.9,21,31,810,19,330,350,2.7,.5,1023,453,1031.9,1033.6,1029.7,0,,,,,.1,.1,6.9,3000,-6.5,53
182,2017-01-24,9,13,22,858,346,330,350,4.3,2.1,1408,2340,1034.6,1035.9,1032.8,,,,,,,,6.5,3000,-6,51
182,2017-01-25,4.6,8,16,834,1012,340,20,5.2,.1,1506,153,1034.3,1036.5,1032.2,,,,,,,,4.5,2500,-5,56
