지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
182,2019-01-01,12.2,19,30,1634,1704,340,330,,6.4,4.5,1233,2022,1034.6,1035.9,1032.7,0.0,,,,,,,7.0,3000.0,-2.2,59
182,2019-01-02,8.0,13,24,238,25,330,340,,5.6,4.2,1303,505,1034.5,1036.2,1032.3,,,,,,,,7.0,3000.0,-2.7,58
182,2019-01-03,5.6,9,16,909,915,30,30,,6.7,2.8,1534,2339,1034.6,1036.8,1033.4,,,,,,,,3.6,2500.0,-2.6,59
182,2019-01-04,5.0,8,11,1958,728,180,190,61.0,9.8,1.7,1238,321,1030.3,1033.8,1027.3,2.0,,,,,,,5.8,2000.0,1.9,78
182,2019-01-05,5.6,9,16,215,216,360,20,5.0,8.2,3.9,1248,2115,1026.3,1027.7,1024.9,0.0,,,,,,,5.0,2000.0,0.7,67
182,2019-01-06,5.1,8,14,409,1711,10,350,,6.3,2.7,1448,2331,1028.3,1030.0,1025.8,,,,,,,,5.5,2500.0,-1.3,64
182,2019-01-07,4.3,6,11,201,1133,180,20,5.0,7.6,2.0,1407,312,1028.3,1030.1,1026.9,,,,,,,,5.0,3000.0,-0.6,66
182,2019-01-08,8.8,16,27,1637,1657,330,340,,7.8,4.1,1304,2159,1028.7,1032.2,1027.0,,,,,,,,7.0,2500.0,-0.6,62
182,2019-01-09,7.3,14,24,34,31,360,10,,5.5,1.7,2247,703,1031.7,1034.1,1027.9,,,,,,,,7.0,3000.0,-4.1,56
182,2019-01-10,6.1,11,18,1815,1646,330,330,,7.5,4.0,2027,728,1026.7,1028.2,1025.3,0.0,,,,,,,8.0,3000.0,0.2,65
182,2019-01-11,5.5,12,16,1657,1702,90,100,61.0,9.1,5.5,1743,813,1024.2,1026.9,1020.6,1.0,,,,,,,7.4,2500.0,1.9,69
182,2019-01-12,5.1,10,16,809,701,330,360,60.0,9.4,7.6,1417,206,1022.3,1024.6,1020.1,3.0,,,,,,,5.6,2000.0,3.5,72
182,2019-01-13,6.3,11,19,906,907,360,10,5.0,8.4,6.2,1252,2244,1025.2,1026.3,1023.9,,,,,,,,4.7,2500.0,1.1,64
182,2019-01-14,4.0,7,12,511,513,20,40,5.0,8.9,4.8,1303,1959,1025.7,1027.2,1024.5,,,,,,,,4.8,2500.0,0.8,66
182,2019-01-15,9.2,18,30,1832,1941,330,330,5.0,8.8,3.2,1246,2357,1025.3,1028.0,1023.8,,,,,,,,6.0,3000.0,-0.4,62
