지점,일시,최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균이슬점온도(°C),평균상대습도(%)
110,2009-01-01,943,916,-1.8,-11.6,1612,507,1027.7,1029.3,1025.7,,,,,,,,-13.5,60
110,2009-01-02,1455,1427,1.3,-11.6,1512,636,1030.3,1031.7,1028.8,,,,,,,,-10.4,71
110,2009-01-03,1728,1417,4.1,-10.8,1452,612,1030.2,1032.3,1028.4,,,,,,,,-8.6,73
110,2009-01-04,1424,1345,4.9,-6.7,1504,709,1027.7,1029.4,1026.2,,,,,,,,-7.8,69
110,2009-01-05,1320,1514,1.9,-8.7,1317,741,1028,1029.7,1026.7,,,,,,,,-7.6,76
110,2009-01-06,1652,1533,1.6,-10.6,1444,803,1029.9,1031.5,1028.2,,,,,,,,-9.4,73
110,2009-01-07,1700,1454,4.2,-9.4,1420,702,1030.4,1031.6,1029,,,,,,,,-9,72
110,2009-01-08,1454,1450,3,-9,1554,331,1029.3,1031.2,1027.5,,,,,,,,-9.8,67
110,2009-01-09,1955,1947,0,-9.3,1428,830,1024.5,1027.6,1021.9,,,,,,,,-11.3,61
110,2009-01-10,1208,1204,-3.7,-11.9,1548,755,1024.2,1025.9,1023,,,,,,,,-15.3,56
110,2009-01-11,1958,1956,-3.3,-13.9,1406,605,1024.2,1025.9,1022.6,,,,,,,,-16.1,59
110,2009-01-12,1419,1444,-2.6,-13.7,1338,732,1028.7,1030.7,1025.7,,,,,,,,-15.1,57
110,2009-01-13,1244,1238,-1.6,-14.1,1443,755,1030.8,1032.7,1029.1,0,,,,,,,-13.5,60
110,2009-01-14,1222,1034,-2.8,-12.3,36,2355,1031.1,1034.6,1028.4,0,,,,,,,-16.2,50
110,2009-01-15,128,405,-1.5,-15.8,1515,729,1033.2,1035.5,1031,,,,,,,,-18,46
110,2009-01-16,716,654,1.4,-9.2,1522,2343,1029.2,1031.5,1027.5,1,,,,,2.7,2.7,-4.9,88
110,2009-01-17,1800,1848,3.8,-11.4,1449,539,1027.4,1030,1024,,,,,,,,-5.3,89
110,2009-01-18,2201,2152,7.5,-5.4,1343,9,1018,1024.1,1014.4,,,,,,,,-.8,90
110,2009-01-19,1345,1240,5.8,-9,1319,729,1023.7,1026.2,1019.9,,,,,,,,-7.5,67
110,2009-01-20,1606,1530,7.1,-6.9,1421,716,1025.4,1027.5,1023.5,,,,,,,,-8.7,55
110,2009-01-21,1505,1501,6.6,-1.4,1512,124,1021.6,1024.7,1019.8,0,,,,,,,-2.6,69
110,2009-01-22,1935,1947,9.5,-2,1415,2358,1016.5,1020,1012.7,0,,,,,,,-1.4,73
110,2009-01-23,1234,1232,-1.8,-11.9,0,2047,1024.5,1028.8,1018.7,,,,,,,,-17.6,50
110,2009-01-24,608,601,-5.2,-15.4,1552,144,1021.6,1028.6,1019,1,,,,,4,4,-13,77
110,2009-01-25,1525,1602,1.8,-16,1536,613,1021,1022.5,1018,0,,,,,.4,.4,-9.4,81
110,2009-01-26,1458,1455,.9,-10.9,1432,537,1025.5,1029.9,1022,,,,,,,.4,-8.2,82
110,2009-01-27,1200,1516,4.1,-11.7,1439,514,1030.2,1032.2,1028.9,,,,,,,,-8.9,70
110,2009-01-28,1040,1514,7.7,-9,1501,430,1028.5,1030.3,1026.7,,,,,,,,-8.5,61
110,2009-01-29,1329,1624,8.3,-5.9,1612,228,1025,1027.2,1022.8,,,,,,,,-7,66
110,2009-01-30,1647,1635,13.1,-6.1,1437,133,1020.7,1022.8,1017.8,,,,,,,,-3.3,69
110,2009-01-31,1642,1635,11.2,-3.2,1430,316,1025.1,1029.1,1021.6,,,,,,,,-1.8,72
110,2009-02-01,1625,1429,10.5,-5.1,1427,549,1029.9,1031.8,1028.7,,,,,,,,-2.7,75
