지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
110,2017-01-01,3.6,7,11,1143,1147,160,170,8.5,-4.4,1341,153,1028.2,1031.1,1024.9,,,,,,,,5.2,3000,-2.3,70
110,2017-01-02,5,9,13,1252,1425,300,280,9.1,-2.3,1245,2359,1022.9,1024.9,1021.3,0,,,,,,,5.3,500,.4,73
110,2017-01-03,,9,12,153,1307,310,230,7.2,-5.3,1405,555,,1026.2,1023.2,,,,,,,,,,,
110,2017-01-04,4.1,10,14,1453,1355,330,310,9.4,-2.8,1423,723,1024.3,1025.9,1023.1,,,,,,,,2.3,,-5.2,61
110,2017-01-05,5.1,12,17,2151,2046,100,90,8.5,-3.1,1443,11,1027.5,1028.8,1025.7,,,,,,,,6.2,14000,-5.4,54
110,2017-01-06,4.5,9,13,33,102,100,80,10.8,-.3,1351,2300,1027.1,1029,1025.1,,,,,,,,2.8,14000,-3.6,54
110,2017-01-07,3.2,6,9,1517,1641,20,340,9.4,-2.8,1517,642,1022.1,1025.1,1019.1,,,,,,,,3.4,11000,-2.6,70
110,2017-01-08,4.5,8,11,1427,2012,330,310,10.5,0,1329,500,1015.2,1019.8,1012.5,0,,,,,,,5.9,3000,-1.3,64
110,2017-01-09,7.9,15,20,859,844,330,330,5,-3.8,1151,2211,1017.7,1021.3,1013.8,,,,,,,,2.8,3000,-6.4,55
110,2017-01-10,7.2,17,23,1352,1349,330,320,2.2,-8,1332,2349,1024.5,1028.6,1021.3,,,,,,,,.8,18000,-14.3,45
110,2017-01-11,3.8,12,17,1535,1505,320,270,2.2,-10,1518,743,1025.9,1029.1,1022.2,,,,,,,,1.8,4000,-16.3,38
110,2017-01-12,7.1,17,22,1413,1406,330,320,2.4,-6.7,1341,2311,1019.1,1022.2,1016.9,0,,,,,.2,.2,2.6,3500,-13.4,45
110,2017-01-13,6.3,18,25,1934,1509,340,290,-.5,-9.2,1434,342,1018.3,1022.3,1015.6,0,,,,,.5,.5,2.3,2500,-15.7,48
110,2017-01-14,11.4,20,27,1623,1410,320,320,-3.6,-10,1402,756,1026.3,1029.3,1022.1,,,,,,,,0,,-21.9,34
110,2017-01-15,5.6,9,18,1150,1113,340,340,-.5,-11.7,1507,220,1029,1031.2,1026.8,,,,,,,,0,,-19.3,38
110,2017-01-16,2.5,6,11,1349,1348,110,160,3.2,-12.8,1525,634,1029.9,1031.9,1027.8,,,,,,,,0,,-15.6,47
110,2017-01-17,2.6,5,10,1444,1502,360,30,3.1,-10.7,1632,710,1031.9,1033.2,1030.5,,,,,,,,2.3,3500,-11.7,57
110,2017-01-18,2.9,7,10,1659,1209,350,230,4,-7,1427,640,1030.9,1032.8,1029,,,,,,,,3.8,3000,-7.1,66
110,2017-01-19,3.3,11,15,1545,1546,290,300,4.5,-7.8,1441,546,1024.7,1029.9,1018.3,0,,,,,,,5.3,2500,-10,59
110,2017-01-20,7.3,18,24,1116,1114,320,310,-1,-12.7,116,2311,1022.5,1030,1015.9,4,,,,,6.3,6.3,3.9,2500,-11.2,63
110,2017-01-21,3.7,18,30,2251,2246,280,280,-.4,-14.3,2243,413,1027,1030.7,1022.4,2.3,,,,,3.3,4.7,4.5,2000,-11.3,73
110,2017-01-22,,20,27,34,34,320,320,-2.9,-13,1,715,,1030.5,1023.1,,,,,,0,4.7,,8000,,
110,2017-01-23,4.3,11,16,1015,1012,330,320,-4.9,-15.7,1614,415,1032.1,1034,1030.4,,,,,,,2.5,0,,-19.4,47
110,2017-01-24,2.6,7,9,1047,1039,330,310,-.7,-17,1521,405,1035,1036.3,1033.7,,,,,,,1.8,0,,-17.1,56
110,2017-01-25,2,6,9,1519,1404,320,20,-.1,-15.3,1539,728,1035.1,1037.3,1033.3,,,,,,,1,0,,-15.1,57
110,2017-01-26,6.5,16,26,2253,2247,210,200,3.6,-12.7,2247,344,1027.3,1034.1,1018.1,1,,,,,,0,4.7,2500,-8.5,66
110,2017-01-27,9,19,29,55,48,280,270,5.4,-7,45,2338,1027.5,1031.4,1017.6,4,,,,,,,2,3000,-12.8,46
110,2017-01-28,3.3,7,11,1645,1518,310,90,3.7,-10.3,1616,603,1027.8,1032.1,1023.4,,,,,,,,3.4,11000,-13.5,48
110,2017-01-29,4.8,13,25,1959,2012,340,300,1.3,-.4,1005,2122,1019.6,1023.6,1016.8,3.5,,,,,1.7,1.7,7.8,2000,-4.7,72
110,2017-01-30,7.6,14,19,1220,1218,330,320,-.2,-9.4,2,2348,1025.6,1031.6,1018.2,0,,,,,,1.7,1.5,4000,-12.8,57
110,2017-01-31,3.5,7,10,1623,1622,350,340,-1.3,-12.1,1507,440,1030,1032.3,1027.8,,,,,,,.7,2.4,15000,-16.1,51
110,2017-02-01,7.1,16,23,1125,1152,320,310,.6,-8.7,1422,2322,1029.6,1032.8,1027.1,,,,,,,,1.2,,-14.4,49
110,2017-02-02,3.8,10,15,1351,1345,300,290,3.4,-11.2,1539,734,1031,1033.7,1028.4,,,,,,,,.5,,-12.1,51
110,2017-02-03,3,9,15,1258,1306,300,260,6,-5.6,1344,709,1027.3,1029.2,1025.5,,,,,,,,1.8,3000,-5.3,66
110,2017-02-04,2.8,6,7,2114,1218,340,230,3.6,-6.7,1353,715,1021.6,1025.6,1016.7,,,,,,,,5.4,7000,-4.7,73
110,2017-02-05,5,10,15,1635,1635,290,280,2.9,-1.8,1629,2224,1014.3,1016.7,1012.3,.5,,,,,,,6.3,2500,-3.3,73
110,2017-02-06,8.8,14,23,537,533,330,320,2.3,-4.4,1511,2356,1022.6,1026.8,1016.7,,,,,,,,0,,-11.5,49
110,2017-02-07,3.6,7,10,1620,1609,320,330,1.9,-7.5,1538,442,1026.1,1028.4,1023.7,,,,,,,,4.2,12000,-13.5,46
110,2017-02-08,4.1,13,19,2052,2052,320,320,1.1,-7.3,1417,614,1020.1,1023.7,1017.4,,,,,,,,5,12000,-12.3,49
110,2017-02-09,9.6,16,24,1100,1405,310,270,-1,-6.7,1315,629,1016.7,1018,1015,,,,,,,,1.5,3000,-15.8,42
110,2017-02-10,10.4,16,23,1825,937,310,300,-1.8,-9.2,1408,601,1019,1021.6,1017.6,,,,,,,,.9,,-18.2,39
110,2017-02-11,8.3,17,23,1024,1017,320,310,.8,-9.1,1408,617,1024.8,1027.9,1021.4,,,,,,,,.2,,-15.8,41
110,2017-02-12,3.3,10,19,1354,1347,280,250,3.7,-10,1346,440,1029.1,1030.3,1027.8,,,,,,,,0,,-12,53
110,2017-02-13,2.7,8,21,1427,1449,230,240,5.8,-9.1,1508,710,1030.8,1032.5,1029.5,,,,,,,,2.8,2500,-8.3,62
110,2017-02-14,4.1,9,13,1202,1422,350,300,5.9,-7.3,1524,453,1033.1,1034.9,1030.9,,,,,,,,0,,-11.7,48
110,2017-02-15,3.9,7,15,520,1456,150,200,7.9,-7,1525,521,1030.4,1033.4,1026.1,,,,,,,,0,,-8.7,55
110,2017-02-16,5.6,12,21,1520,1516,200,190,11,-7.5,1510,613,1020.1,1026.3,1015.6,0,,,,,,,4.4,2500,-2,63
110,2017-02-17,10.6,18,26,707,707,310,300,8.5,-5.1,1,2157,1021.8,1026.9,1015.1,3.5,,,,,,,3.5,2500,-8.4,52
110,2017-02-18,5.3,13,22,1514,1638,270,270,3.3,-8.1,1432,716,1026.5,1027.6,1024.7,,,,,,,,.2,,-13.6,44
110,2017-02-19,7.3,15,22,1416,1415,190,190,6.3,-5.8,1630,143,1016.3,1025.2,1006.7,4,,,,,,,6.1,2000,-5.3,63
110,2017-02-20,13.2,20,30,851,850,320,310,6.3,-6.1,110,2320,1017.6,1029.6,1006.4,0,,,,,,,2.3,2000,-10.7,51
110,2017-02-21,3.4,9,13,1,1542,350,300,5.1,-9.1,1513,707,1030,1033.8,1024.9,,,,,,,,2.6,13000,-14.1,42
110,2017-02-22,6.6,15,21,2335,2335,320,320,3.3,-1.1,844,1,1017.1,1025.1,1011.3,3,,,,,,,7.8,2000,-4.2,70
