ÁöÁ¡,ÀÏ½Ã,Ç³Çâ(deg),Ç³¼Ó(KT),¼ø°£Ç³¼Ó(KT),½ÃÁ¤(m),ÀÏ±âÇö»ó,Àü¿î·®(1/8),1Ãþ ¿î·®(1/8),2Ãþ ¿î·®(1/8),3Ãþ ¿î·®(1/8),4Ãþ ¿î·®(1/8),1Ãþ ¿îÇü,2Ãþ ¿îÇü,3Ãþ ¿îÇü,4Ãþ ¿îÇü,1Ãþ ¿î°í(FT),2Ãþ ¿î°í(FT),3Ãþ ¿î°í(FT),4Ãþ ¿î°í(FT),±â¿Â(¡ÆC),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇØ¸é±â¾Ð(hPa),ÇöÁö±â¾Ð(hPa),°­¼ö·®(mm)
110,2019-01-01 01:00,320,3,,10000,,0,,,,,,,,,,,,,-8.6,-13.3,1035.9,1034.2,
110,2019-01-01 02:00,350,3,,10000,,0,,,,,,,,,,,,,-9.4,-13.9,1035.8,1034.1,
110,2019-01-01 03:00,270,2,,10000,,0,,,,,,,,,,,,,-10.2,-15.1,1036.4,1034.7,
110,2019-01-01 04:00,10,2,,10000,,0,,,,,,,,,,,,,-10.9,-15.7,1035.7,1034,
110,2019-01-01 05:00,340,1,,10000,,0,,,,,,,,,,,,,-9.1,-13.9,1035.4,1033.7,
110,2019-01-01 06:00,50,2,,10000,,1,1,,,,0,,,,18000,,,,-10.3,-15.7,1035.3,1033.6,
110,2019-01-01 07:00,30,2,,10000,,4,4,,,,3,,,,14000,,,,-10.7,-15.1,1034.9,1033.2,
110,2019-01-01 08:00,300,2,,10000,,6,6,,,,3,,,,13000,,,,-10.4,-14.5,1034.8,1033.1,
110,2019-01-01 09:00,330,2,,10000,,7,7,,,,3,,,,11000,,,,-7.6,-11.2,1035,1033.3,
110,2019-01-01 10:00,30,1,,10000,,3,3,,,,3,,,,15000,,,,-5.4,-12.2,1035,1033.3,
110,2019-01-01 11:00,280,1,,10000,,4,2,4,,,6,3,,,3000,8000,,,-3.6,-12.7,1034.8,1033.1,
110,2019-01-01 12:00,330,5,,10000,,4,4,,,,6,,,,3000,,,,-2.6,-12.7,1033.6,1032,
110,2019-01-01 13:00,310,11,,10000,,4,4,,,,6,,,,3000,,,,-1.4,-11.7,1032.5,1030.9,
110,2019-01-01 14:00,310,13,,10000,,4,4,,,,6,,,,3000,,,,-1.9,-12.7,1032,1030.4,
110,2019-01-01 15:00,300,12,,10000,,4,4,,,,6,,,,3000,,,,-1.4,-13.3,1032.2,1030.6,
110,2019-01-01 16:00,270,9,,10000,,3,3,,,,6,,,,3000,,,,-1.6,-12.7,1032.2,1030.6,
110,2019-01-01 17:00,280,9,,10000,,1,1,,,,6,,,,3000,,,,-1.8,-13.9,1032.5,1030.9,
110,2019-01-01 18:00,290,5,,10000,,0,,,,,,,,,,,,,-3.2,-15.1,1032.8,1031.2,
110,2019-01-01 19:00,300,5,,10000,,0,,,,,,,,,,,,,-4.2,-14.5,1033.7,1032,
110,2019-01-01 20:00,320,7,,10000,,0,,,,,,,,,,,,,-5.9,-15.1,1034,1032.3,
110,2019-01-01 21:00,350,10,,10000,,0,,,,,,,,,,,,,-5.5,-15.7,1034.3,1032.6,
