ÁöÁ¡,ÀÏ½Ã,Ç³Çâ(deg),Ç³¼Ó(KT),¼ø°£Ç³¼Ó(KT),½ÃÁ¤(m),ÀÏ±âÇö»ó(null),1Ãþ ¿î·®(1/8),2Ãþ ¿î·®(1/8),3Ãþ ¿î·®(1/8),4Ãþ ¿î·®(1/8),1Ãþ ¿îÇü(null),2Ãþ ¿îÇü(null),3Ãþ ¿îÇü(null),4Ãþ ¿îÇü(null),1Ãþ ¿î°í(FT),2Ãþ ¿î°í(FT),3Ãþ ¿î°í(FT),4Ãþ ¿î°í(FT),±â¿Â(¡ÆC),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇØ¸é±â¾Ð(hPa),ÇöÁö±â¾Ð(hPa),°­¼ö·®(mm)
182,2010-01-01 00:00,310,9,,8000,10,7,,,,6,,,,2500,,,,2.2,-5.1,1022.7,1019.5,
182,2010-01-01 01:00,360,11,,8000,10,7,,,,6,,,,2500,,,,2.2,-2.7,1022.7,1019.5,
182,2010-01-01 02:00,290,10,,8000,10,7,,,,6,,,,2500,,,,2.5,-5.4,1022.7,1019.5,
182,2010-01-01 03:00,300,10,,8000,10,7,,,,6,,,,3000,,,,2.7,-7,1023,1019.9,
182,2010-01-01 04:00,310,9,,10000,,7,,,,6,,,,3000,,,,2.7,-7,1023,1019.7,
182,2010-01-01 05:00,320,10,,10000,,7,,,,6,,,,3000,,,,2.9,-6.5,1022.7,1019.5,
182,2010-01-01 06:00,310,10,,10000,,7,,,,6,,,,3000,,,,3,-6.5,1022.7,1019.5,
182,2010-01-01 07:00,320,10,,10000,,7,,,,6,,,,3000,,,,3.2,-5.1,1022.7,1019.5,
182,2010-01-01 08:00,300,6,,10000,,7,,,,6,,,,3000,,,,3,-6.1,1023,1019.9,
182,2010-01-01 09:00,300,6,,10000,,7,,,,6,,,,3000,,,,3.4,-5.8,1022.7,1019.5,
182,2010-01-01 10:00,290,5,,10000,,6,,,,6,,,,3000,,,,3.5,-6.1,1023.2,1020,
