지점,일시,풍향(deg),풍속(KT),순간풍속(KT),시정(m),일기현상,전운량(1/8),1층 운량(1/8),2층 운량(1/8),3층 운량(1/8),4층 운량(1/8),1층 운형,2층 운형,3층 운형,4층 운형,1층 운고(FT),2층 운고(FT),3층 운고(FT),4층 운고(FT),기온(°C),이슬점온도(°C),해면기압(hPa),현지기압(hPa),강수량(mm)
182,2019-01-01 01:00,340,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.0,-1.6,1035.0,1031.6,
182,2019-01-01 02:00,310,9,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.4,-2.0,1035.2,1031.8,
182,2019-01-01 03:00,310,12,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.4,-3.1,1035.8,1032.4,
182,2019-01-01 04:00,310,12,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.7,-0.9,1035.1,1031.7,
182,2019-01-01 05:00,320,13,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.4,-2.4,1034.2,1030.8,
182,2019-01-01 06:00,330,10,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.4,-2.0,1034.1,1030.7,
182,2019-01-01 07:00,330,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.2,-2.3,1034.7,1031.3,
182,2019-01-01 08:00,320,11,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.4,-1.6,1035.2,1031.8,
182,2019-01-01 09:00,310,10,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.3,-1.6,1035.5,1032.1,
182,2019-01-01 10:00,300,10,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.5,-1.7,1035.5,1032.1,
182,2019-01-01 11:00,300,12,,10000,26.0,7,1.0,7.0,,,8.0,6.0,,,1500.0,3000.0,,,5.2,-1.8,1035.1,1031.7,0.0
182,2019-01-01 12:00,310,13,,10000,,7,2.0,7.0,,,6.0,6.0,,,2000.0,3500.0,,,5.7,-1.4,1034.2,1030.8,
182,2019-01-01 13:00,300,14,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.0,-0.7,1033.2,1029.9,
182,2019-01-01 14:00,310,13,24.0,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.9,-1.1,1033.0,1029.7,
182,2019-01-01 15:00,320,16,29.0,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.5,-1.6,1033.2,1029.8,
182,2019-01-01 16:00,310,14,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.9,-4.8,1033.5,1030.2,
182,2019-01-01 17:00,330,15,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.4,-2.1,1034.1,1030.7,
182,2019-01-01 18:00,320,14,25.0,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.0,-1.9,1034.4,1031.0,
182,2019-01-01 19:00,330,14,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.1,-2.7,1034.8,1031.4,
182,2019-01-01 20:00,340,15,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-4.4,1034.7,1031.3,
182,2019-01-01 21:00,350,12,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.5,-3.1,1034.6,1031.2,
182,2019-01-01 22:00,340,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.9,-3.3,1034.7,1031.3,
182,2019-01-01 23:00,330,13,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-3.0,1034.5,1031.1,
182,2019-01-02 00:00,350,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-2.5,1035.0,1031.6,
182,2019-01-02 01:00,340,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.6,-3.9,1034.9,1031.5,
182,2019-01-02 02:00,350,10,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.6,-3.1,1035.4,1032.0,
182,2019-01-02 03:00,340,12,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-3.6,1035.3,1031.9,
182,2019-01-02 04:00,350,10,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.5,-4.2,1035.0,1031.6,
182,2019-01-02 05:00,350,9,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.3,-4.5,1034.6,1031.2,
182,2019-01-02 06:00,330,10,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.5,-4.0,1034.7,1031.3,
182,2019-01-02 07:00,360,8,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.4,-3.7,1035.0,1031.6,
182,2019-01-02 08:00,360,7,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-3.5,1035.5,1032.1,
182,2019-01-02 09:00,360,7,19.0,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-2.9,1035.9,1032.5,
182,2019-01-02 10:00,360,8,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.8,-2.0,1036.1,1032.7,
182,2019-01-02 11:00,350,7,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-1.1,1035.6,1032.2,
182,2019-01-02 12:00,330,8,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.1,-2.1,1034.6,1031.2,
182,2019-01-02 13:00,340,6,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.5,-1.1,1033.5,1030.1,
182,2019-01-02 14:00,350,6,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.5,-1.2,1032.4,1029.1,
182,2019-01-02 15:00,340,10,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.4,-1.8,1033.0,1029.6,
182,2019-01-02 16:00,340,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.3,-2.6,1033.5,1030.1,
182,2019-01-02 17:00,340,9,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.3,-2.7,1033.6,1030.2,
182,2019-01-02 18:00,340,9,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.1,-2.8,1034.2,1030.8,
182,2019-01-02 19:00,350,6,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.9,-2.8,1034.4,1031.0,
182,2019-01-02 20:00,340,6,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-2.4,1034.3,1030.9,
182,2019-01-02 21:00,350,7,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.5,-2.3,1034.2,1030.8,
182,2019-01-02 22:00,350,5,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.5,-2.0,1034.1,1030.7,
182,2019-01-02 23:00,330,4,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.3,-3.1,1034.5,1031.1,
182,2019-01-03 00:00,330,5,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.5,-2.3,1034.3,1030.9,
182,2019-01-03 01:00,350,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.6,-2.0,1034.3,1030.9,
182,2019-01-03 02:00,350,5,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.6,-2.1,1034.5,1031.1,
182,2019-01-03 03:00,350,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.5,-2.2,1034.6,1031.2,
182,2019-01-03 04:00,360,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.5,-1.7,1034.5,1031.1,
182,2019-01-03 05:00,10,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.3,-2.1,1034.3,1030.9,
182,2019-01-03 06:00,360,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.1,-2.3,1034.7,1031.3,
182,2019-01-03 07:00,360,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.1,-2.1,1035.2,1031.8,
182,2019-01-03 08:00,350,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,4.4,-2.3,1035.3,1031.9,
182,2019-01-03 09:00,20,7,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,4.6,-1.5,1036.0,1032.6,
182,2019-01-03 10:00,40,5,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,4.8,-1.9,1036.7,1033.3,
182,2019-01-03 11:00,30,6,,10000,,7,7.0,,,,6.0,,,,2500.0,,,,4.8,-1.6,1036.6,1033.2,
182,2019-01-03 12:00,50,6,,10000,,7,7.0,,,,6.0,,,,2500.0,,,,5.2,-1.8,1035.7,1032.3,
182,2019-01-03 13:00,20,5,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,5.7,-1.6,1034.9,1031.5,
182,2019-01-03 14:00,360,6,,10000,,0,,,,,,,,,,,,,6.0,-4.7,1034.0,1030.7,
182,2019-01-03 15:00,10,5,,10000,,0,,,,,,,,,,,,,6.2,-4.2,1033.4,1030.1,
182,2019-01-03 16:00,360,5,,10000,,0,,,,,,,,,,,,,6.5,-3.5,1033.8,1030.5,
182,2019-01-03 17:00,360,2,,10000,,0,,,,,,,,,,,,,6.3,-3.8,1033.5,1030.2,
182,2019-01-03 18:00,350,2,,10000,,0,,,,,,,,,,,,,5.5,-3.2,1034.1,1030.7,
182,2019-01-03 19:00,340,2,,10000,,0,,,,,,,,,,,,,4.8,-3.5,1034.4,1031.0,
182,2019-01-03 20:00,170,5,,10000,,0,,,,,,,,,,,,,4.2,-3.1,1034.2,1030.8,
182,2019-01-03 21:00,180,7,,10000,,0,,,,,,,,,,,,,4.2,-2.9,1034.2,1030.8,
182,2019-01-03 22:00,180,7,,10000,,0,,,,,,,,,,,,,3.7,-2.9,1034.1,1030.7,
182,2019-01-03 23:00,180,7,,10000,,0,,,,,,,,,,,,,3.1,-3.0,1033.7,1030.3,
182,2019-01-04 00:00,170,6,,10000,,0,,,,,,,,,,,,,3.1,-2.3,1033.8,1030.4,
182,2019-01-04 01:00,170,5,,10000,,1,1.0,,,,6.0,,,,2500.0,,,,3.0,-1.7,1033.5,1030.1,
182,2019-01-04 02:00,170,6,,10000,,1,1.0,,,,6.0,,,,2000.0,,,,2.3,-1.3,1033.4,1030.0,
182,2019-01-04 03:00,170,6,,10000,,0,,,,,,,,,,,,,2.2,-1.0,1032.9,1029.5,
182,2019-01-04 04:00,170,6,,10000,,0,,,,,,,,,,,,,2.2,-0.9,1032.7,1029.3,
182,2019-01-04 05:00,180,7,,10000,,1,1.0,,,,6.0,,,,3000.0,,,,2.7,0.3,1031.8,1028.4,
182,2019-01-04 06:00,170,6,,10000,,1,1.0,,,,6.0,,,,3000.0,,,,2.4,0.0,1031.1,1027.7,
182,2019-01-04 07:00,180,6,,10000,,6,6.0,,,,6.0,,,,2500.0,,,,3.1,0.3,1032.0,1028.6,
182,2019-01-04 08:00,160,5,,10000,,6,6.0,,,,3.0,,,,8000.0,,,,5.0,1.2,1031.5,1028.1,
182,2019-01-04 09:00,140,3,,10000,,7,7.0,,,,3.0,,,,10000.0,,,,6.3,2.4,1030.5,1027.2,
182,2019-01-04 10:00,200,3,,10000,,7,7.0,,,,3.0,,,,10000.0,,,,7.4,2.2,1031.7,1028.4,
182,2019-01-04 11:00,230,4,,10000,,7,7.0,,,,3.0,,,,8000.0,,,,7.9,3.0,1032.0,1028.7,
182,2019-01-04 12:00,230,6,,10000,,7,5.0,7.0,,,6.0,3.0,,,2500.0,8000.0,,,8.6,3.2,1031.6,1028.3,
182,2019-01-04 13:00,270,5,,10000,,7,5.0,7.0,,,6.0,3.0,,,2500.0,8000.0,,,9.6,3.8,1030.0,1026.7,
182,2019-01-04 14:00,310,5,,10000,60.0,8,5.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,9.3,3.7,1029.0,1025.7,0.0
182,2019-01-04 15:00,330,4,,10000,60.0,8,5.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,8.7,3.8,1028.8,1025.5,0.0
182,2019-01-04 16:00,360,6,,10000,61.0,8,6.0,8.0,,,6.0,4.0,,,2000.0,8000.0,,,7.7,3.5,1028.8,1025.5,0.0
182,2019-01-04 17:00,350,5,,9000,61.0,8,2.0,6.0,8.0,,7.0,6.0,4.0,,1200.0,3000.0,8000.0,,6.3,4.0,1028.4,1025.1,1.0
182,2019-01-04 18:00,30,4,,10000,61.0,8,6.0,8.0,,,6.0,4.0,,,2000.0,8000.0,,,5.8,0.7,1028.5,1025.2,0.5
182,2019-01-04 19:00,320,1,,10000,61.0,8,5.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,5.9,1.1,1028.9,1025.6,0.0
182,2019-01-04 20:00,180,7,,10000,21.0,8,5.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,5.4,2.8,1028.6,1025.3,0.0
182,2019-01-04 21:00,180,7,,10000,61.0,8,5.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,5.5,3.1,1028.4,1025.1,0.0
182,2019-01-04 22:00,180,3,,10000,61.0,8,5.0,8.0,,,6.0,4.0,,,2000.0,8000.0,,,5.6,3.2,1028.2,1024.9,0.0
182,2019-01-04 23:00,180,5,,6000,61.0,8,1.0,6.0,8.0,,7.0,6.0,4.0,,1000.0,2000.0,8000.0,,5.2,4.0,1027.8,1024.5,0.5
182,2019-01-05 00:00,170,6,,6000,60.0,8,1.0,6.0,8.0,,7.0,6.0,4.0,,1000.0,2000.0,8000.0,,5.5,4.4,1027.5,1024.2,0.0
182,2019-01-05 01:00,170,3,,8000,60.0,8,1.0,6.0,8.0,,7.0,6.0,4.0,,1000.0,2000.0,8000.0,,5.6,4.2,1027.4,1024.1,0.0
