ÁöÁ¡,ÀÏ½Ã,Ç³Çâ(deg),Ç³¼Ó(KT),¼ø°£Ç³¼Ó(KT),½ÃÁ¤(m),ÀÏ±âÇö»ó(null),1Ãþ ¿î·®(1/8),2Ãþ ¿î·®(1/8),3Ãþ ¿î·®(1/8),4Ãþ ¿î·®(1/8),1Ãþ ¿îÇü(null),2Ãþ ¿îÇü(null),3Ãþ ¿îÇü(null),4Ãþ ¿îÇü(null),1Ãþ ¿î°í(FT),2Ãþ ¿î°í(FT),3Ãþ ¿î°í(FT),4Ãþ ¿î°í(FT),±â¿Â(¡ÆC),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇØ¸é±â¾Ð(hPa),ÇöÁö±â¾Ð(hPa),°­¼ö·®(mm)
110,2012-01-01 00:00,170,3,,3300,5,4,8,,,6,4,,,2000,10000,,,-.7,-7.1,1025.4,1023.8,
110,2012-01-01 01:00,340,3,,2600,5,4,8,,,6,4,,,2000,10000,,,-1.3,-5.7,1025.1,1023.5,
110,2012-01-01 02:00,350,5,,2600,5,4,7,,,6,4,,,2000,9000,,,-3,-7.1,1024.9,1023.3,
110,2012-01-01 03:00,330,2,,2000,10,4,7,,,6,4,,,2000,8000,,,-3.5,-6.7,1024.8,1023.2,
110,2012-01-01 04:00,320,3,,2000,10,4,6,,,6,4,,,3000,8000,,,-4.5,-7.4,1024.8,1023.2,
110,2012-01-01 05:00,360,2,,1800,10,4,6,,,6,3,,,3000,8000,,,-3.8,-7.1,1024.7,1023.1,
110,2012-01-01 06:00,20,5,,1800,10,4,6,,,6,3,,,3000,8000,,,-3.5,-7.1,1024.4,1022.8,
110,2012-01-01 07:00,360,2,,1600,10,4,6,,,6,3,,,3000,8000,,,-3.9,-7.1,1024.7,1023.1,
110,2012-01-01 08:00,350,2,,1800,10,4,7,,,6,4,,,3500,8000,,,-3.5,-6.7,1024.5,1022.9,
110,2012-01-01 09:00,360,5,,1800,10,4,7,,,6,4,,,3500,8000,,,-2.3,-5.7,1025.1,1023.5,
110,2012-01-01 10:00,340,4,,1400,71,6,8,,,6,4,,,2000,8000,,,-1.4,-5,1025.6,1024,0
110,2012-01-01 11:00,330,4,,2800,5,6,,,,6,,,,2500,,,,-.5,-6.4,1025.1,1023.5,0
110,2012-01-01 12:00,330,5,,4000,5,6,,,,6,,,,2500,,,,-.3,-8.2,1024.2,1022.6,
110,2012-01-01 13:00,300,12,,5000,5,4,,,,6,,,,2500,,,,0,-9,1023.3,1021.7,
110,2012-01-01 14:00,290,12,,6000,5,4,7,,,6,3,,,2500,11000,,,-.3,-11.2,1022.8,1021.2,
110,2012-01-01 15:00,320,16,,10000,,4,,,,6,,,,4000,,,,-.2,-13.3,1023.2,1021.6,
110,2012-01-01 16:00,330,13,,10000,,4,,,,6,,,,4000,,,,-1.3,-13.9,1024,1022.4,
110,2012-01-01 17:00,340,15,,10000,,4,,,,6,,,,4000,,,,-3.4,-14.5,1024.8,1023.2,
110,2012-01-01 18:00,340,11,,8000,5,4,,,,6,,,,3500,,,,-4.6,-13.9,1025.7,1024.1,
110,2012-01-01 19:00,340,11,,8000,5,2,,,,6,,,,3500,,,,-5.7,-13.3,1026.7,1025,
110,2012-01-01 20:00,340,6,,7000,5,2,,,,6,,,,3500,,,,-7.2,-13.3,1027.4,1025.7,
110,2012-01-01 21:00,350,5,,6000,5,2,,,,6,,,,3500,,,,-6.7,-12.7,1027.6,1025.9,
110,2012-01-01 22:00,350,5,,6000,5,2,,,,6,,,,3500,,,,-7.6,-12.7,1027.5,1025.8,
110,2012-01-01 23:00,360,5,,6000,5,,,,,,,,,,,,,-7.8,-13.3,1027.3,1025.6,
110,2012-01-02 00:00,300,2,,6000,5,,,,,,,,,,,,,-7.6,-12.7,1027.2,1025.5,
110,2012-01-02 01:00,330,3,,6000,5,,,,,,,,,,,,,-8.4,-13.3,1027,1025.3,
110,2012-01-02 02:00,290,3,,6000,5,,,,,,,,,,,,,-8.4,-13.3,1028,1026.3,
110,2012-01-02 03:00,310,3,,6000,5,,,,,,,,,,,,,-9.5,-13.9,1028.6,1026.9,
110,2012-01-02 04:00,330,1,,6000,5,,,,,,,,,,,,,-9.2,-13.9,1028.2,1026.5,
110,2012-01-02 05:00,30,1,,6000,5,,,,,,,,,,,,,-9.8,-13.9,1028.2,1026.5,
110,2012-01-02 06:00,70,2,,5000,5,,,,,,,,,,,,,-10.7,-14.5,1028.1,1026.4,
110,2012-01-02 07:00,0,0,,4000,5,,,,,,,,,,,,,-11.1,-15.1,1027.9,1026.2,
110,2012-01-02 08:00,320,4,,4000,10,,,,,,,,,,,,,-8.9,-12.2,1028.2,1026.5,
110,2012-01-02 09:00,30,2,,4000,10,1,,,,6,,,,2500,,,,-8.8,-12.7,1028.3,1026.6,
110,2012-01-02 10:00,290,2,,4000,5,2,,,,0,,,,18000,,,,-5.2,-9.8,1029,1027.3,
110,2012-01-02 11:00,180,4,,4000,5,2,,,,0,,,,18000,,,,-3.3,-11.2,1028.5,1026.9,
110,2012-01-02 12:00,220,3,,4000,5,2,,,,0,,,,18000,,,,-2.3,-12.2,1028.2,1026.6,
110,2012-01-02 13:00,330,5,,4800,5,3,,,,6,,,,3000,,,,-2.2,-11.7,1027.5,1025.9,
110,2012-01-02 14:00,20,3,,4800,5,3,,,,6,,,,3000,,,,-1.5,-11.2,1026,1024.4,
110,2012-01-02 15:00,260,5,,4800,5,4,,,,6,,,,3000,,,,-1.4,-11.2,1025.9,1024.3,
110,2012-01-02 16:00,300,7,,6000,5,4,5,,,6,0,,,3000,18000,,,-1.3,-11.2,1026.3,1024.7,
110,2012-01-02 17:00,320,5,,5000,5,2,4,,,6,0,,,3000,18000,,,-2,-10.7,1026,1024.4,
110,2012-01-02 18:00,320,5,,5000,5,2,4,,,6,0,,,3000,18000,,,-3.1,-10.7,1026.2,1024.6,
110,2012-01-02 19:00,330,3,,4500,5,2,3,,,6,0,,,3000,18000,,,-4.4,-10.3,1026.1,1024.5,
110,2012-01-02 20:00,270,2,,4500,5,2,,,,6,,,,3000,,,,-5.8,-11.2,1026.1,1024.4,
110,2012-01-02 21:00,290,3,,4500,5,2,,,,6,,,,3000,,,,-5.5,-10.3,1026,1024.3,
110,2012-01-02 22:00,320,3,,3500,5,2,,,,6,,,,3000,,,,-6.4,-10.7,1026.2,1024.5,
110,2012-01-02 23:00,30,1,,3500,5,2,,,,6,,,,3000,,,,-6.3,-10.7,1025.8,1024.1,
110,2012-01-03 00:00,310,1,,3500,5,2,,,,6,,,,3000,,,,-8.3,-12.7,1025.6,1023.9,
110,2012-01-03 01:00,300,1,,3000,10,2,,,,6,,,,3000,,,,-8.4,-11.7,1025.3,1023.6,
110,2012-01-03 02:00,340,3,,2500,10,2,,,,6,,,,3000,,,,-7.7,-11.2,1025.3,1023.6,
110,2012-01-03 03:00,330,2,,2500,10,1,,,,6,,,,3000,,,,-8.8,-12.2,1025.3,1023.6,
110,2012-01-03 04:00,310,2,,2500,10,1,5,,,6,3,,,3000,8000,,,-8,-11.2,1025,1023.3,
110,2012-01-03 05:00,0,0,,2000,10,1,5,,,6,3,,,3000,8000,,,-9.1,-12.2,1024.6,1022.9,
110,2012-01-03 06:00,260,1,,2000,10,2,5,7,,6,3,0,,3000,8000,20000,,-9.2,-12.7,1024,1022.3,
110,2012-01-03 07:00,20,3,,1600,10,2,5,7,,6,3,0,,3000,8000,20000,,-8.2,-11.2,1024,1022.3,
110,2012-01-03 08:00,140,3,,2200,10,2,5,7,,6,3,0,,3000,8000,20000,,-7.9,-11.2,1024,1022.3,
110,2012-01-03 09:00,300,1,,2000,10,2,5,7,,6,3,2,,3000,8000,20000,,-6.7,-9.8,1024.2,1022.5,
110,2012-01-03 10:00,340,3,,2000,10,4,5,7,,6,3,2,,2500,8000,20000,,-4.5,-8.6,1023.7,1022.1,
110,2012-01-03 11:00,140,4,,3300,5,3,5,7,,6,3,2,,2500,8000,20000,,-1.9,-10.3,1022.4,1020.8,
110,2012-01-03 12:00,170,5,,4500,5,3,7,,,6,0,,,2500,18000,,,-.6,-12.2,1020.8,1019.2,
110,2012-01-03 13:00,170,4,,4500,5,4,7,,,6,0,,,2500,18000,,,.5,-12.7,1019.1,1017.5,
110,2012-01-03 14:00,250,3,,5000,71,5,7,,,6,4,,,2500,12000,,,.4,-10.7,1018.7,1017.1,0
110,2012-01-03 15:00,350,9,,3500,70,5,7,,,6,4,,,2500,11000,,,-1.5,-8.2,1019.1,1017.5,0
110,2012-01-03 16:00,340,10,,1500,68,2,5,8,,7,6,4,,1000,2500,8000,,-3,-7.1,1019.5,1017.9,0
110,2012-01-03 17:00,340,9,,1500,71,2,5,8,,7,6,4,,1000,2000,8000,,-3.4,-6.7,1020.4,1018.8,0
110,2012-01-03 18:00,330,7,,3500,10,1,5,8,,7,6,4,,1500,2000,8000,,-3.8,-8.2,1021.3,1019.7,0
110,2012-01-03 19:00,340,8,,3500,10,4,8,,,6,4,,,2000,8000,,,-4.8,-9.4,1021.7,1020.1,
